Category,Color,Discount,Frequency of Purchases,Gender,Item,Location,Payment Method,Season,Shipping Type,Size,Subscription Status,Age,Customer,Previous Purchases,Review Rating,Sales (USD)
Accessories,Charcoal,Yes,Weekly,Male,Sunglasses,New Mexico,Card,Winter,Store Pickup,M,Yes,28,86,1,4.5,247.12
Clothing,Pink,Yes,Weekly,Male,Hoodie,Nevada,Cash,Spring,Courier,L,No,24,87,0,3.7,25.69
Footwear,Green,Yes,Fortnightly,Male,Shoes,Ohio,Card,Fall,Courier,M,No,19,88,0,3.7,39.88
Clothing,Orange,Yes,Monthly,Male,T-shirt,Wyoming,Card,Fall,Courier,M,No,33,89,0,3.5,32.11
Outerwear,Pink,Yes,Quarterly,Male,Jacket,California,Cash,Fall,Store Pickup,XL,No,33,90,5,3.6,119.01
Accessories,Violet,Yes,Monthly,Male,Hat,South Carolina,Card,Summer,Courier,L,No,25,91,1,2.9,33.31
Accessories,Green,Yes,Monthly,Male,Scarf,South Carolina,Card,Winter,Courier,S,Yes,24,92,4,4.6,573.93
Outerwear,Olive,Yes,Monthly,Male,Jacket,Texas,Card,Winter,Courier,M,Yes,36,93,6,4.4,141.18
Clothing,Purple,Yes,Weekly,Male,Sweater,Florida,Card,Fall,Courier,M,Yes,37,94,0,4.5,54.05
Clothing,Silver,Yes,Weekly,Male,Skirt,Nevada,Card,Spring,Courier,S,Yes,43,95,2,4.6,89.2
Footwear,Pink,Yes,Monthly,Male,Sneakers,Missouri,Card,Fall,Courier,L,Yes,37,96,0,3.8,1212.81
Accessories,Gold,Yes,Monthly,Male,Gloves,Delaware,Card,Spring,Courier,S,No,32,97,0,3.6,80.11
Footwear,Teal,Yes,Fortnightly,Male,Shoes,Virginia,Cash,Winter,Store Pickup,M,Yes,21,98,0,4.8,189.73
Clothing,Teal,Yes,Fortnightly,Male,Jeans,New York,Cash,Spring,Store Pickup,XL,No,20,99,3,2.6,64.61
Clothing,Indigo,Yes,Quarterly,Male,Hoodie,Missouri,Card,Summer,Courier,XL,No,26,100,1,3.7,24.64
Accessories,Maroon,Yes,Fortnightly,Male,Sunglasses,South Dakota,Cash,Fall,Courier,M,No,25,101,1,2.7,399.24
Outerwear,White,Yes,Weekly,Male,Coat,North Dakota,Card,Spring,Courier,XL,Yes,27,102,0,4.6,130.2
Clothing,Violet,Yes,Quarterly,Male,Socks,Oklahoma,Card,Winter,Store Pickup,L,Yes,27,103,0,4.8,64.59
Footwear,Red,Yes,Weekly,Male,Boots,West Virginia,Card,Winter,Store Pickup,L,Yes,21,104,3,4,157.21
Accessories,Pink,Yes,Monthly,Male,Sunglasses,New Hampshire,Card,Spring,Courier,L,No,55,105,0,4.4,11.59
Accessories,Charcoal,Yes,Fortnightly,Male,Backpack,New York,Cash,Fall,Store Pickup,M,Yes,33,106,3,3.6,276.93
Outerwear,White,Yes,Monthly,Male,Jacket,Minnesota,Card,Summer,Courier,L,No,64,107,1,3.7,19.95
Footwear,Olive,Yes,Fortnightly,Male,Sneakers,Maryland,Card,Winter,Store Pickup,L,No,28,108,0,3.1,64.56
Clothing,Purple,Yes,Weekly,Male,Socks,Montana,Cash,Spring,Store Pickup,L,No,70,109,1,3.4,99.95
Clothing,Violet,Yes,Fortnightly,Male,T-shirt,Alabama,Cash,Spring,Store Pickup,M,No,43,110,0,2.6,130.11
Accessories,Black,Yes,Fortnightly,Male,Backpack,New York,Card,Summer,Courier,M,No,56,111,2,4,12.95
Accessories,Purple,Yes,Fortnightly,Male,Belt,Massachusetts,Card,Summer,Courier,L,Yes,26,112,2,5,85.84
Accessories,Red,Yes,Weekly,Male,Gloves,Florida,Card,Spring,Courier,M,No,37,113,2,4.3,60.15
Accessories,Maroon,Yes,Quarterly,Male,Hat,New Jersey,Card,Winter,Store Pickup,L,No,24,114,3,3.1,41.18
Outerwear,Blue,Yes,Weekly,Male,Coat,Massachusetts,Cash,Summer,Store Pickup,S,Yes,70,115,8,3.7,246.67
Clothing,Gray,Yes,Monthly,Male,Skirt,Wyoming,Card,Spring,Courier,M,Yes,28,116,0,3.8,223.34
Footwear,Blue,Yes,Fortnightly,Male,Shoes,Virginia,Card,Spring,Courier,S,No,55,117,8,3.4,135.77
Footwear,Yellow,Yes,Fortnightly,Male,Sandals,South Dakota,Cash,Summer,Courier,L,Yes,50,118,1,4.6,17.47
Clothing,Orange,Yes,Weekly,Male,Sweater,Kentucky,Cash,Fall,Courier,L,Yes,50,119,2,4.8,29.93
Outerwear,Orange,Yes,Fortnightly,Male,Coat,Wyoming,Cash,Fall,Courier,M,Yes,38,120,0,4.3,89.15
Accessories,Red,Yes,Fortnightly,Male,Hat,West Virginia,Cash,Summer,Courier,L,Yes,64,121,1,4,124.22
Clothing,Olive,Yes,Fortnightly,Male,Shorts,Virginia,Cash,Winter,Courier,M,Yes,19,122,1,4.2,77.11
Accessories,Brown,Yes,Fortnightly,Male,Backpack,Washington,Cash,Spring,Courier,L,Yes,40,123,0,4.8,24.63
Clothing,Brown,Yes,Weekly,Male,Sweater,Louisiana,Cash,Fall,Courier,L,No,24,124,0,3.1,157.06
Clothing,Gray,Yes,Fortnightly,Male,Sweater,Nevada,Card,Spring,Store Pickup,M,No,24,125,0,3.1,135.66
Clothing,Indigo,Yes,Monthly,Male,Shorts,California,Card,Winter,Store Pickup,M,No,49,126,0,3.6,41.17
Footwear,Cyan,Yes,Monthly,Male,Boots,California,Card,Fall,Courier,L,Yes,35,127,4,4.9,276.31
Clothing,Pink,Yes,Monthly,Male,Shorts,Mississippi,Cash,Spring,Store Pickup,L,No,43,127,0,3.9,20.9
Clothing,Gray,Yes,Weekly,Male,Sweater,Mississippi,Card,Winter,Store Pickup,M,Yes,24,128,2,4.8,156.92
Accessories,Gold,Yes,Fortnightly,Male,Scarf,California,Card,Spring,Courier,M,Yes,20,129,3,4.7,17.46
Clothing,Olive,Yes,Weekly,Male,Dress,Pennsylvania,Card,Summer,Courier,XL,No,24,130,0,4.2,64.53
Accessories,Violet,Yes,Fortnightly,Male,Scarf,Kentucky,Card,Fall,Store Pickup,L,No,24,131,6,3.7,23.68
Clothing,Indigo,Yes,Weekly,Male,Skirt,Maine,Card,Summer,Courier,L,No,28,132,0,3.9,15.09
Accessories,Orange,Yes,Weekly,Male,Backpack,New Mexico,Card,Fall,Courier,M,Yes,30,133,0,4.7,47.26
Clothing,Violet,Yes,Fortnightly,Male,Sweater,Montana,Card,Winter,Store Pickup,M,No,19,134,2,2.5,60.13
Accessories,Gray,Yes,Monthly,Male,Hat,Texas,Cash,Fall,Store Pickup,L,Yes,43,135,2,4.9,222.99
Footwear,Purple,Yes,Quarterly,Male,Sandals,Kansas,Card,Fall,Courier,M,Yes,43,136,8,4.1,108.72
Clothing,White,Yes,Quarterly,Male,Blouse,South Carolina,Card,Winter,Courier,M,No,39,137,3,3.3,135.56
Footwear,Turquoise,Yes,Weekly,Male,Sneakers,Colorado,Card,Spring,Courier,M,Yes,30,138,0,4.7,27.66
Clothing,Maroon,Yes,Weekly,Male,Skirt,Georgia,Cash,Winter,Store Pickup,M,No,30,139,0,4.4,15.08
Outerwear,White,Yes,Fortnightly,Male,Coat,Florida,Card,Fall,Store Pickup,M,Yes,49,140,1,3.8,246.22
Clothing,Yellow,Yes,Weekly,Male,Shirt,North Carolina,Card,Fall,Courier,L,No,34,141,0,3.9,14.32
Accessories,Turquoise,Yes,Weekly,Male,Gloves,Virginia,Card,Fall,Courier,M,Yes,56,142,0,4.9,31.05
Outerwear,Violet,Yes,Fortnightly,Male,Jacket,Nebraska,Card,Fall,Courier,L,No,37,143,1,3.1,47.25
Outerwear,Beige,Yes,Quarterly,Male,Coat,Missouri,Card,Fall,Store Pickup,M,No,30,144,2,2.7,33.3
Footwear,Silver,Yes,Monthly,Male,Shoes,New Jersey,Cash,Fall,Courier,M,No,19,145,2,3.2,27.65
Accessories,Teal,Yes,Quarterly,Male,Jewelry,Missouri,Card,Fall,Courier,M,Yes,24,146,0,4.5,245.77
Clothing,Black,Yes,Fortnightly,Male,Skirt,Colorado,Card,Fall,Courier,S,No,19,147,3,4,15.83
Footwear,Purple,Yes,Fortnightly,Male,Shoes,Idaho,Cash,Summer,Courier,M,No,34,148,1,3.5,58.18
Accessories,Gray,Yes,Fortnightly,Male,Gloves,Wyoming,Card,Fall,Store Pickup,M,No,37,149,0,2.6,168.07
Clothing,White,Yes,Monthly,Male,Pants,Delaware,Card,Summer,Courier,M,No,38,150,6,3.2,89.1
Accessories,Turquoise,Yes,Fortnightly,Male,Sunglasses,North Dakota,Card,Fall,Store Pickup,L,Yes,28,152,2,4.5,32.1
Clothing,Brown,Yes,Fortnightly,Male,Shirt,South Carolina,Card,Summer,Courier,S,Yes,30,153,0,4.3,130.01
Clothing,Maroon,Yes,Fortnightly,Male,Hoodie,North Carolina,Card,Winter,Courier,M,No,33,154,3,3.2,42.57
Clothing,Charcoal,Yes,Quarterly,Male,Dress,Oklahoma,Card,Fall,Store Pickup,M,Yes,41,155,3,3.6,397.38
Clothing,Olive,Yes,Quarterly,Male,Socks,Maine,Cash,Spring,Courier,S,Yes,34,156,3,4.3,92.64
Clothing,Lavender,Yes,Fortnightly,Male,Shorts,Missouri,Card,Fall,Courier,M,No,35,157,0,4,12.95
Accessories,Yellow,Yes,Fortnightly,Male,Hat,Vermont,Cash,Fall,Store Pickup,S,No,36,158,0,3,67.23
Clothing,Teal,Yes,Monthly,Male,Shirt,Connecticut,Cash,Fall,Courier,XL,No,25,159,0,4.1,80.07
Accessories,Charcoal,Yes,Monthly,Male,Gloves,New Hampshire,Cash,Fall,Store Pickup,M,No,43,160,0,3.8,13.61
Accessories,Orange,Yes,Monthly,Male,Gloves,Texas,Card,Summer,Courier,M,Yes,27,161,1,4.6,10.95
Accessories,Olive,Yes,Fortnightly,Male,Backpack,North Dakota,Card,Fall,Courier,M,No,28,162,1,3,34.42
Accessories,Turquoise,Yes,Weekly,Male,Sunglasses,California,Card,Summer,Store Pickup,M,No,21,163,1,3,83.01
Clothing,Purple,Yes,Weekly,Male,Skirt,Virginia,Card,Summer,Courier,M,No,21,164,7,3.4,64.5
Accessories,Purple,Yes,Fortnightly,Male,Handbag,Delaware,Card,Spring,Courier,S,No,54,165,4,2.6,60.1
Accessories,Yellow,Yes,Monthly,Male,Handbag,Kentucky,Cash,Winter,Store Pickup,S,No,22,166,6,2.8,50.7
Footwear,Indigo,Yes,Monthly,Male,Sneakers,Delaware,Cash,Fall,Store Pickup,XL,No,26,167,1,4,16.61
Accessories,Green,Yes,Monthly,Male,Gloves,Arkansas,Card,Fall,Courier,M,No,33,168,6,4,13.61
Footwear,Magenta,Yes,Fortnightly,Male,Shoes,Louisiana,Cash,Summer,Courier,M,No,34,169,4,3,104.13
Outerwear,Gold,Yes,Monthly,Male,Jacket,Nevada,Card,Summer,Courier,S,No,27,170,2,3.3,15.83
Clothing,Maroon,Yes,Weekly,Male,Shirt,Wyoming,Card,Fall,Store Pickup,M,No,19,171,0,2.6,12.27
Clothing,Blue,Yes,Weekly,Male,Shorts,Virginia,Card,Summer,Store Pickup,M,No,29,172,3,3.6,19.94
Accessories,Violet,Yes,Weekly,Male,Jewelry,Nebraska,Card,Summer,Store Pickup,M,No,21,173,0,3.9,64.48
Accessories,Turquoise,Yes,Fortnightly,Male,Hat,Hawaii,Cash,Fall,Courier,M,No,25,174,1,3.4,31.04
Footwear,Brown,Yes,Fortnightly,Male,Shoes,Vermont,Card,Winter,Courier,L,No,41,175,0,3.5,19.94
Outerwear,Violet,Yes,Fortnightly,Male,Coat,Oklahoma,Cash,Fall,Store Pickup,L,No,28,176,1,2.8,135.45
Accessories,Black,Yes,Quarterly,Male,Backpack,New Hampshire,Card,Spring,Store Pickup,L,No,28,177,1,2.7,108.65
Clothing,Magenta,Yes,Monthly,Male,Hoodie,Kansas,Cash,Fall,Store Pickup,L,No,21,178,0,3.7,26.7
Clothing,Lavender,Yes,Quarterly,Male,Skirt,Idaho,Card,Fall,Courier,L,No,36,179,3,4.3,27.64
Footwear,Violet,Yes,Fortnightly,Male,Boots,Illinois,Cash,Fall,Store Pickup,M,Yes,64,180,8,4.9,16.6
Footwear,Green,Yes,Fortnightly,Male,Sandals,South Dakota,Card,Fall,Store Pickup,L,No,27,181,8,3.3,108.58
Clothing,Beige,Yes,Weekly,Male,Pants,Massachusetts,Cash,Summer,Store Pickup,M,Yes,32,182,3,4.7,52.22
Accessories,Purple,Yes,Fortnightly,Male,Gloves,Alabama,Card,Summer,Store Pickup,XL,No,38,183,1,2.8,275.69
Clothing,Beige,Yes,Weekly,Male,Skirt,Ohio,Card,Spring,Courier,XL,No,43,184,2,3.6,15.08
Footwear,Cyan,Yes,Fortnightly,Male,Sneakers,Hawaii,Cash,Spring,Courier,L,No,32,185,0,3,18.3
Clothing,Silver,Yes,Fortnightly,Male,T-shirt,Wisconsin,Cash,Summer,Store Pickup,XL,Yes,26,186,1,4.5,17.46
Accessories,Lavender,Yes,Fortnightly,Male,Backpack,Minnesota,Card,Summer,Courier,S,No,39,187,1,2.9,44.16
Footwear,Purple,Yes,Weekly,Male,Shoes,Georgia,Cash,Spring,Store Pickup,S,No,19,188,0,3.3,222.65
Clothing,Pink,Yes,Weekly,Male,Hoodie,Arkansas,Cash,Spring,Courier,M,No,50,189,4,3.1,39.87
Clothing,Maroon,Yes,Weekly,Male,Blouse,West Virginia,Card,Fall,Store Pickup,M,Yes,36,190,3,4.4,113.86
Outerwear,Beige,Yes,Quarterly,Male,Coat,Indiana,Card,Fall,Courier,XL,No,28,191,0,3,71.67
Accessories,Gray,Yes,Monthly,Male,Hat,Utah,Cash,Fall,Courier,M,No,64,192,1,3.9,89.06
Footwear,Turquoise,Yes,Weekly,Male,Shoes,Nebraska,Card,Summer,Courier,L,No,26,193,8,2.9,15.07
Accessories,Silver,Yes,Fortnightly,Male,Belt,North Dakota,Card,Fall,Courier,S,No,36,194,1,3,1154.45
Accessories,Olive,Yes,Quarterly,Male,Backpack,Missouri,Card,Spring,Courier,M,No,27,195,5,3.1,222.31
Outerwear,Magenta,Yes,Monthly,Male,Jacket,New York,Card,Fall,Courier,M,No,27,196,1,4.3,12.27
Footwear,Lavender,Yes,Fortnightly,Male,Boots,Washington,Card,Summer,Store Pickup,M,Yes,38,197,0,3.9,149.35
Accessories,Black,Yes,Monthly,Male,Scarf,South Carolina,Card,Fall,Courier,M,No,54,198,0,3.2,96.17
Accessories,Turquoise,Yes,Fortnightly,Male,Jewelry,Utah,Card,Winter,Courier,M,Yes,24,199,0,4.8,29.92
Accessories,Green,Yes,Weekly,Male,Hat,Idaho,Cash,Summer,Courier,XL,No,21,200,1,3.8,80.03
Clothing,Teal,Yes,Monthly,Male,Dress,Pennsylvania,Card,Summer,Store Pickup,S,No,25,201,1,3.3,52.2
Clothing,Beige,Yes,Fortnightly,Male,Blouse,Missouri,Cash,Fall,Courier,S,No,33,202,5,4.3,10.3
Accessories,Magenta,Yes,Fortnightly,Male,Hat,Nebraska,Card,Spring,Courier,L,No,24,203,1,2.7,22.76
Accessories,Yellow,Yes,Weekly,Male,Scarf,Indiana,Cash,Fall,Store Pickup,S,No,70,204,4,3.2,22.76
Footwear,Yellow,Yes,Weekly,Male,Sneakers,Arizona,Cash,Fall,Store Pickup,M,Yes,24,205,0,4,1103.96
Clothing,Silver,Yes,Weekly,Male,Shirt,Hawaii,Card,Winter,Courier,M,No,31,206,2,3,58.15
Clothing,Silver,Yes,Fortnightly,Male,T-shirt,Wisconsin,Card,Summer,Courier,L,No,24,207,5,4.2,42.56
Accessories,Silver,Yes,Weekly,Male,Gloves,Rhode Island,Cash,Summer,Courier,M,No,25,208,4,2.9,179.28
Clothing,Gold,Yes,Monthly,Male,Skirt,Wisconsin,Card,Spring,Store Pickup,M,No,24,209,4,4.1,22.75
Footwear,Olive,Yes,Monthly,Male,Sandals,Minnesota,Cash,Winter,Store Pickup,S,No,55,210,0,3.2,323.88
Outerwear,Teal,Yes,Fortnightly,Male,Jacket,Vermont,Card,Fall,Courier,L,No,45,211,5,3,10.3
Clothing,Maroon,Yes,Fortnightly,Male,Skirt,South Dakota,Card,Fall,Courier,L,Yes,33,212,0,4.2,189.27
Accessories,Blue,Yes,Fortnightly,Male,Handbag,Virginia,Card,Fall,Courier,L,Yes,31,213,6,4.2,124.13
Accessories,Peach,Yes,Monthly,Male,Handbag,Nevada,Card,Fall,Store Pickup,L,Yes,30,214,1,4.4,203.16
Outerwear,Blue,Yes,Monthly,Male,Jacket,Hawaii,Cash,Summer,Store Pickup,L,No,24,215,0,4.2,35.71
Accessories,Orange,Yes,Weekly,Male,Scarf,New Jersey,Card,Spring,Courier,S,No,25,216,2,2.8,58.13
Clothing,Yellow,Yes,Weekly,Male,Shorts,Massachusetts,Card,Spring,Courier,L,No,43,217,3,3.7,52.18
Accessories,Purple,Yes,Fortnightly,Male,Sunglasses,Oklahoma,Cash,Winter,Store Pickup,M,No,35,218,2,3.5,33.28
